 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Total elastic cross section = 1.98982E-18 cm**2 = 7.10577E-02 a0**2
 # 1st transport cross section = 5.85045E-23 cm**2 = 2.08923E-06 a0**2
 # 2nd transport cross section = 1.65644E-22 cm**2 = 5.91526E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.45061E-13  1.23224E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.45059E-13  1.23223E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.45058E-13  1.23223E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.45057E-13  1.23222E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.45056E-13  1.23222E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.45054E-13  1.23221E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.45052E-13  1.23220E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.45050E-13  1.23220E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.45048E-13  1.23219E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.45045E-13  1.23218E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.45042E-13  1.23217E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.45039E-13  1.23216E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.45036E-13  1.23215E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.45033E-13  1.23213E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.45029E-13  1.23212E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.45025E-13  1.23211E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.45021E-13  1.23209E+04  0.00000E+00  1.0E-05
