 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Total elastic cross section = 1.10035E-20 cm**2 = 3.92943E-04 a0**2
 # 1st transport cross section = 9.95317E-26 cm**2 = 3.55434E-09 a0**2
 # 2nd transport cross section = 2.87000E-25 cm**2 = 1.02489E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.90152E-15  6.79046E+01  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.90152E-15  6.79044E+01  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.90151E-15  6.79043E+01  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.90151E-15  6.79041E+01  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.90150E-15  6.79040E+01  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.90150E-15  6.79038E+01  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.90149E-15  6.79036E+01  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.90149E-15  6.79033E+01  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.90148E-15  6.79031E+01  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.90147E-15  6.79028E+01  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.90146E-15  6.79025E+01  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.90145E-15  6.79022E+01  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.90144E-15  6.79018E+01  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.90143E-15  6.79014E+01  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.90142E-15  6.79010E+01  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.90141E-15  6.79006E+01  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.90140E-15  6.79002E+01  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.90138E-15  6.78997E+01  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.90137E-15  6.78992E+01  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.90136E-15  6.78987E+01  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.90134E-15  6.78981E+01  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.90132E-15  6.78975E+01  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.90131E-15  6.78969E+01  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.90129E-15  6.78963E+01  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.90127E-15  6.78957E+01  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.90125E-15  6.78950E+01  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.90123E-15  6.78943E+01  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.90121E-15  6.78936E+01  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.90119E-15  6.78928E+01  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.90117E-15  6.78921E+01  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.90115E-15  6.78913E+01  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.90113E-15  6.78905E+01  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.90110E-15  6.78896E+01  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.90108E-15  6.78888E+01  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.90105E-15  6.78879E+01  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.90103E-15  6.78869E+01  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.90100E-15  6.78860E+01  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.90097E-15  6.78850E+01  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.90067E-15  6.78741E+01  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.90029E-15  6.78607E+01  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.89985E-15  6.78449E+01  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.89934E-15  6.78266E+01  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.89876E-15  6.78059E+01  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.89811E-15  6.77828E+01  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.89740E-15  6.77573E+01  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.89662E-15  6.77294E+01  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.89577E-15  6.76990E+01  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.89485E-15  6.76663E+01  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.89386E-15  6.76311E+01  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.89281E-15  6.75936E+01  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.89170E-15  6.75537E+01  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.89051E-15  6.75113E+01  0.00000E+00  1.0E-05
