 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: He,  Z =   2,  atomic weight = 4.00260E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.69889E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  2
 #
 # Total elastic cross section = 1.66994E-20 cm**2 = 5.96348E-04 a0**2
 # 1st transport cross section = 3.70057E-25 cm**2 = 1.32150E-08 a0**2
 # 2nd transport cross section = 1.06344E-24 cm**2 = 3.79763E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.18466E-15  4.23049E+01  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.18466E-15  4.23049E+01  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.18466E-15  4.23048E+01  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.18466E-15  4.23048E+01  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.18465E-15  4.23048E+01  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.18465E-15  4.23047E+01  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.18465E-15  4.23047E+01  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.18465E-15  4.23046E+01  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.18465E-15  4.23045E+01  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.18465E-15  4.23045E+01  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.18464E-15  4.23044E+01  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.18464E-15  4.23043E+01  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.18464E-15  4.23042E+01  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.18463E-15  4.23041E+01  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.18463E-15  4.23040E+01  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.18463E-15  4.23039E+01  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.18463E-15  4.23037E+01  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.18462E-15  4.23036E+01  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.18462E-15  4.23035E+01  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.18461E-15  4.23033E+01  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.18461E-15  4.23032E+01  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.18461E-15  4.23030E+01  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.18460E-15  4.23029E+01  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.18460E-15  4.23027E+01  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.18459E-15  4.23025E+01  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.18459E-15  4.23023E+01  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.18458E-15  4.23022E+01  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.18458E-15  4.23020E+01  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.18457E-15  4.23018E+01  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.18456E-15  4.23016E+01  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.18456E-15  4.23013E+01  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.18455E-15  4.23011E+01  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.18455E-15  4.23009E+01  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.18454E-15  4.23007E+01  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.18453E-15  4.23004E+01  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.18453E-15  4.23002E+01  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.18452E-15  4.22999E+01  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.18451E-15  4.22997E+01  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.18443E-15  4.22967E+01  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.18433E-15  4.22931E+01  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.18421E-15  4.22888E+01  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.18407E-15  4.22839E+01  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.18391E-15  4.22784E+01  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.18374E-15  4.22721E+01  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.18355E-15  4.22653E+01  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.18334E-15  4.22577E+01  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.18311E-15  4.22495E+01  0.00000E+00  1.0E-05
