 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  S,  Z =  16,  atomic weight = 3.20660E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.39937E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 16
 #
 # Total elastic cross section = 1.06165E-18 cm**2 = 3.79121E-02 a0**2
 # 1st transport cross section = 2.22232E-23 cm**2 = 7.93604E-07 a0**2
 # 2nd transport cross section = 6.32969E-23 cm**2 = 2.26037E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.80648E-13  6.45104E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.80647E-13  6.45102E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.80647E-13  6.45101E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.80646E-13  6.45099E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.80646E-13  6.45097E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.80645E-13  6.45095E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.80644E-13  6.45093E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.80644E-13  6.45091E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.80643E-13  6.45088E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.80642E-13  6.45085E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.80641E-13  6.45082E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.80640E-13  6.45078E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.80639E-13  6.45074E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.80638E-13  6.45070E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.80637E-13  6.45066E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.80636E-13  6.45062E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.80634E-13  6.45057E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.80633E-13  6.45052E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.80631E-13  6.45047E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.80630E-13  6.45041E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.80628E-13  6.45035E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.80627E-13  6.45029E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.80625E-13  6.45023E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.80623E-13  6.45017E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.80621E-13  6.45010E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.80619E-13  6.45003E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.80617E-13  6.44996E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.80615E-13  6.44988E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.80613E-13  6.44980E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.80611E-13  6.44972E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.80608E-13  6.44964E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.80606E-13  6.44955E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.80603E-13  6.44947E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.80601E-13  6.44938E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.80598E-13  6.44928E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.80596E-13  6.44919E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.80593E-13  6.44909E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.80590E-13  6.44899E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.80558E-13  6.44785E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.80519E-13  6.44645E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.80473E-13  6.44480E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.80420E-13  6.44291E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.80360E-13  6.44076E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.80292E-13  6.43836E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.80218E-13  6.43571E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.80137E-13  6.43281E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.80049E-13  6.42966E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.79954E-13  6.42626E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.79851E-13  6.42261E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.79742E-13  6.41872E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.79627E-13  6.41458E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.79504E-13  6.41019E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.79374E-13  6.40555E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.79237E-13  6.40068E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.79094E-13  6.39556E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.78943E-13  6.39019E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.78786E-13  6.38458E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.78623E-13  6.37874E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.78452E-13  6.37264E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.78275E-13  6.36631E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.78091E-13  6.35975E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.77900E-13  6.35293E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.77703E-13  6.34589E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.77499E-13  6.33862E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.77289E-13  6.33111E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.77072E-13  6.32335E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.76849E-13  6.31538E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.76619E-13  6.30719E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.76382E-13  6.29873E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.76140E-13  6.29007E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.75891E-13  6.28119E+03  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.75636E-13  6.27207E+03  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.75374E-13  6.26272E+03  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.75106E-13  6.25316E+03  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.72096E-13  6.14566E+03  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.68514E-13  6.01776E+03  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.64415E-13  5.87137E+03  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.59856E-13  5.70858E+03  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.54901E-13  5.53162E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.49614E-13  5.34281E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.44060E-13  5.14447E+03  0.00000E+00  1.0E-05
